hhidpn,hhid,pn,ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
12510010,012510,010,85,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,,,5,,,80000,
12510020,012510,020,85,5,,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,80000,
12512010,012512,010,81,5,,,,,5,85,,40,10,1,17,,,,,,,,,,,,,,,,,,,1,500000,,15000,
12516010,012516,010,83,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
12516040,012516,040,77,5,,,,,5,30,,40,50,2,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
12543010,012543,010,80,5,,,,,5,5,,5,5,2,16,,,,,,,,,,,,,,,,,125000,,1,250000,200000,55000,
12573010,012573,010,83,5,,,,,5,100,,100,,2,14,,,,,,,,,,,,,,,,,400000,,1,25000,,160000,
12588010,012588,010,88,5,,,,,5,50,1,10,50,2,17,,,,,,,,,,,,,,,,,,,1,53000,,,
12588020,012588,020,89,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,,,1,53000,,,
12605040,012605,040,64,4,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
12648040,012648,040,71,5,,,,,1,998,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,3000,
12671010,012671,010,79,2,,,,,5,50,1,20,10,2,17,,,,,,,,,,,,,,,,,,,5,,,30000,
12695020,012695,020,79,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,9,,,9999999,
12695030,012695,030,69,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,,,9,,,9999999,
12715030,012715,030,75,5,,,,,5,50,2,,,2,16,45,45,45,45,45,50,1,3,5,5,5,5,5,3,5,,,,5,,9999998,500000,999999998
12744010,012744,010,86,5,,,,,5,998,,,,1,16,,,,,,,,,,,,,,,,,,,8,,,,
12745010,012745,010,79,5,,,,,5,50,2,,,1,17,80,80,50,80,50,50,1,8,8,3,5,5,5,5,3,,,,5,,,200000,
12745020,012745,020,78,5,6,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,200000,
12756010,012756,010,81,5,,,,,5,20,,10,0,2,14,,,,,,,,,,,,,,,,,800000,99999998,1,1600000,,100000,250000
